00005||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
001C4|12/31/2019|09/30/2019|0.850|0.544|0.305|1.100|0.510|3|5|0|56.3|5.756|5.847|2.691|9.380|1.940|6|1|4|-1.6|4.955|4.883|2.358|7.620|2.680|4|1|1|1.5|1.671|0.942|0.561|2.425|1.080|4|5|0|77.4|2.323|1.990|0.554|2.910|1.810|3|0|2|16.7|||||||||-0.380|11/07/2019|-0.368|-0.012|-3.3|0.071|-0.2|135.7|577.2|-13.9|0.340||0.101|5.921|4.325|08/08/2019|-0.134|-0.570|-0.436|-30.7|0.219|-0.6|06/30/2019|03/10/2020|05/11/2020
001C6|05/31/2020|08/31/2019|3.463|3.458|0.055|3.560|3.420|6|1|0|0.1|3.673|3.670|0.125|3.890|3.550|6|1|0|0.1|3.993|3.987|0.228|4.290|3.740|4|1|0|0.2|0.845|0.845|0.027|0.880|0.810|6|0|0|0.0|0.983|0.983|0.016|1.010|0.960|6|0|0|0.0|7.300|7.150|0.566|7.700|6.900|2|1|0|0.790|10/02/2019|0.785|0.005|0.6|0.029|0.2|7.5|6.1|8.7|0.860|0.984|3.466|3.648|4.055|07/23/2019|0.017|0.740|0.723|2.4|0.021|0.8|05/31/2019|01/06/2020|04/06/2020
00220|09/30/2020|09/30/2019|2.547|2.580|0.017|2.580|2.500|16|2|10|-1.3|2.902|2.945|0.104|3.150|2.730|16|2|4|-1.5|3.258|3.475|0.284|3.500|2.880|4|0|0|-6.2|0.383|0.404|0.023|0.430|0.350|13|1|6|-5.2|0.472|0.487|0.014|0.490|0.440|12|2|5|-3.1|||||||||0.780|11/07/2019|0.762|0.018|2.4|0.014|1.3|29.9|13.9|12.3|0.403|0.493|2.595|2.978|3.450|07/31/2019|0.022|0.650|0.628|3.5|0.011|2.0|06/30/2019|02/03/2020|04/30/2020
002F7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0036B|12/31/2019|09/30/2019|1.236|1.110|0.016|1.253|1.200|8|8|0|11.4|2.295|2.093|0.237|2.700|1.999|8|7|1|9.7|2.897|2.725|0.199|3.200|2.740|5|4|1|6.3|0.470|0.355|0.006|0.482|0.460|8|8|0|32.4|0.465|0.407|0.055|0.520|0.401|8|6|1|14.3|2.290|0.170||2.290|2.290|1|1|0|0.300|11/05/2019|0.282|0.018|6.4|0.009|2.0|-58.7|85.7|26.2|0.357|0.412|1.113|2.117|2.736|08/06/2019|-0.006|0.230|0.236|-2.5|0.007|-0.9|06/30/2019|02/07/2020|05/11/2020
00417|12/31/2019|09/30/2019|0.057|0.084|0.019|0.099|0.033|13|1|10|-31.6|0.077|0.110|0.034|0.132|0.022|13|0|13|-30.0|0.105|0.145|0.043|0.176|0.055|10|0|8|-28.0|0.009|0.021|0.011|0.022|-0.011|13|0|8|-57.9|0.025|0.026|0.014|0.044|0.000|7|1|2|-4.2|40.116|40.116||40.116|40.116|1|0|0|0.000|11/05/2019|0.018|-0.018|-100.0|0.011|-1.8|205.8|38.1|39.3|0.022|0.026|0.088|0.112|0.148|07/24/2019|0.010|0.022|0.012|83.3|0.012|0.9|06/30/2019|02/07/2020|05/04/2020
0041D||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0044A||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00450|09/30/2020|09/30/2019|0.350|0.373|0.046|0.400|0.310|3|1|1|-6.2|0.465||0.021|0.480|0.450|2|0|0|||||||||||0.050|0.035|0.010|0.060|0.040|3|2|0|42.9|0.037|0.025|0.012|0.050|0.030|3|1|0|48.0|||||||||0.140|11/07/2019|0.100|0.040|40.0|0.020|2.0|2.9|32.9||0.040|0.030|0.405|||07/25/2019|0.015|0.100|0.085|17.6|0.007|2.1|06/30/2019|01/29/2020|04/27/2020
00460|12/31/2019|09/30/2019|0.463|0.486|0.017|0.490|0.450|5|0|4|-4.7|0.599|0.599|0.042|0.650|0.554|5|2|1|0.0|0.820|0.790||0.820|0.820|1|1|0|3.8|0.145|0.162|0.019|0.170|0.130|5|1|4|-10.5|0.133|0.128|0.012|0.150|0.120|4|2|0|3.9|||||||||0.120|11/06/2019|0.127|-0.007|-5.5|0.011|-0.6|59.7|29.4|36.9|0.162|0.128|0.492|0.599|0.790|08/06/2019|-0.035|0.080|0.115|-30.4|0.013|-2.7|06/30/2019|03/09/2020|05/11/2020
00472|12/31/2019|09/30/2019|2.125|2.171|0.045|2.171|2.060|6|5|2|-2.1|2.759|2.655|0.369|3.320|2.320|8|4|2|3.9|3.300|3.410|0.215|3.500|3.040|4|1|2|-3.2|0.575|0.632|0.090|0.720|0.460|8|1|6|-9.0|0.602|0.632|0.019|0.630|0.580|5|1|4|-4.7|||||||||0.590|10/31/2019|0.489|0.101|20.7|0.034|3.0|-30.3|29.8|19.6|0.643|0.609|2.146|2.742|3.410|08/01/2019|-0.003|0.430|0.433|-0.7|0.010|-0.3|06/30/2019|02/28/2020|05/04/2020
004AF|12/31/2019|09/30/2019|-1.270|-1.255|0.320|-0.810|-1.530|4|0|1|-1.2|-1.311|-1.258|0.704|-0.550|-2.240|4|0|2|-4.2|-0.543|-0.460|0.287|-0.340|-0.746|2|0|1|-18.0|-0.305|-0.318|0.123|-0.130|-0.400|4|1|0|4.1|-0.412|-0.393|0.102|-0.347|-0.530|3|0|2|-4.8|||||||||-0.460|11/13/2019|-0.303|-0.157|-51.8|0.078|-2.0||-3.2|58.6|-0.318|-0.393|-1.245|-1.248|-0.460|08/08/2019|0.000|-0.310|-0.310|0.0|0.045|0.0|06/30/2019||
004FB|06/30/2020|09/30/2019|1.670|1.630|0.071|1.720|1.620|2|1|0|2.5|1.745|1.800|0.007|1.750|1.740|2|0|1|-3.1||||||||||0.385|0.375|0.007|0.390|0.380|2|1|0|2.7|0.380|0.395|0.014|0.390|0.370|2|0|1|-3.8|||||||||0.530|11/06/2019|0.423|0.107|25.3|0.025|4.3|7.1|4.5||0.399|0.389|1.666|1.800||08/29/2019|0.031|0.410|0.379|8.2|0.016|1.9|06/30/2019|02/10/2020|05/11/2020
0051E|12/31/2019|06/30/2019|-1.240|-1.240||-1.240|-1.240|1|0|0|0.0|-1.340|-1.340||-1.340|-1.340|1|0|0|0.0|-1.050|-1.050||-1.050|-1.050|1|0|0|0.0|-0.300|-0.300||-0.300|-0.300|1|0|0|0.0|-0.310|-0.310||-0.310|-0.310|1|0|0|0.0|||||||||-0.320|09/18/2019|-0.270|-0.050|-18.5||0.0|48.8|-8.1|21.6|-0.280|-0.290|-1.150|-1.370|-1.050|07/10/2019|0.310|-0.320|-0.630|49.2||0.0|03/31/2019|11/11/2019|
00521||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00524||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00620|12/31/2019|09/30/2019|3.813|3.938|0.022|3.860|3.790|9|1|9|-3.2|4.493|4.529|0.161|4.750|4.243|9|2|6|-0.8|5.187|5.310|0.370|5.420|4.760|3|1|0|-2.3|1.075|1.125|0.023|1.130|1.058|9|1|8|-4.4|1.126|1.148|0.069|1.250|1.047|7|3|5|-1.9|18.200|18.300||18.200|18.200|1|0|1|0.730|11/04/2019|0.819|-0.089|-10.9|0.029|-3.1|13.5|17.8|15.4|1.123|1.140|3.938|4.487|5.315|07/25/2019|0.058|0.930|0.872|6.7|0.023|2.5|06/30/2019|02/17/2020|04/27/2020
0065N|12/31/2019|09/30/2019|5.013|4.987|0.050|5.100|4.890|21|9|8|0.5|5.392|5.478|0.440|5.990|4.350|20|4|13|-1.6|6.130|5.971|0.668|7.300|4.710|12|3|6|2.7|1.257|1.252|0.048|1.310|1.130|19|10|7|0.4|0.452|0.474|0.146|0.700|0.200|11|5|4|-4.6|9.614|12.866|5.169|16.500|3.100|5|1|5|1.420|10/24/2019|1.395|0.025|1.8|0.031|0.8|10.2|7.6|13.7|1.285|0.567|4.968|5.768|6.034|07/25/2019|0.025|1.820|1.795|1.4|0.034|0.7|06/30/2019|01/27/2020|04/27/2020
0070B||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
007F3|12/31/2019|09/30/2019|0.194|0.174|0.005|0.200|0.190|5|3|2|11.5|0.428|0.300|0.255|0.880|0.260|5|5|2|42.7|0.420|0.440|0.115|0.550|0.330|3|1|2|-4.5|0.046|0.056|0.005|0.050|0.040|5|0|4|-17.9|0.073|0.045|0.073|0.180|0.020|4|1|3|62.2|||||||||0.110|11/05/2019|0.076|0.034|44.7|0.011|3.1|129.0|120.6|-1.9|0.058|0.045|0.183|0.308|0.520|08/06/2019|-0.015|0.020|0.035|-42.9|0.025|-0.6|06/30/2019|03/17/2020|05/08/2020
00809|09/30/2020|09/30/2019|1.375|1.454|0.046|1.410|1.308|4|1|3|-5.4|1.704|1.746|0.178|1.840|1.446|4|0|2|-2.4|1.815|1.650|0.233|1.980|1.650|2|0|0|10.0|0.252|0.256|0.047|0.300|0.190|4|1|1|-1.6|0.363|0.388|0.010|0.373|0.350|4|1|2|-6.4|||||||||0.460|11/12/2019|0.439|0.021|4.8|0.035|0.6|5.8|23.9|6.5|0.294|0.382|1.459|1.715|2.100|08/06/2019|-0.098|0.240|0.338|-29.0|0.049|-2.0|06/30/2019|02/04/2020|05/17/2020
00835||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00847|12/31/2019|09/30/2019|-0.207|-0.168|0.171|0.080|-0.490|10|1|4|-23.2|-0.232|-0.135|0.515|0.520|-1.040|16|3|5|-71.9|0.208|0.078|0.546|1.080|-0.450|9|2|2|166.7|-0.140|-0.069|0.109|0.040|-0.350|17|0|7|-102.9|-0.121|-0.084|0.127|0.120|-0.310|14|1|4|-44.0|-194.100|||-194.10|-194.10|1|0|1|0.110|11/06/2019|0.056|0.054|96.4|0.048|1.1|-123.8|-12.1|189.7|-0.015|-0.011|-0.116|0.162|0.672|07/29/2019|0.100|0.060|-0.040|250.0|0.039|2.6|06/30/2019||
00885|03/31/2020|09/30/2019|-0.705|-0.620|0.089|-0.607|-0.920|9|2|7|-13.7|0.113|0.235|0.273|0.390|-0.390|9|2|6|-51.9|0.716|0.861|0.500|1.306|0.010|6|1|2|-16.8|-0.086|-0.047|0.033|-0.049|-0.160|8|0|8|-83.0|-0.126|-0.044|0.022|-0.095|-0.160|8|0|8|-186.4|||||||||-0.230|11/06/2019|-0.294|0.064|21.8|0.048|1.3|-143.1|116.0|533.6|-0.039|-0.036|-0.620|0.235|0.861|08/05/2019|0.053|-0.240|-0.293|18.1|0.027|2.0|06/30/2019|02/10/2020|05/21/2020
008B1|12/31/2019|09/30/2019|-1.924|-1.944|0.097|-1.760|-2.030|12|7|3|1.0|-2.505|-2.455|0.488|-1.650|-3.410|13|4|8|-2.0|-2.672|-2.627|0.439|-1.810|-3.360|13|4|8|-1.7|-0.682|-0.662|0.090|-0.530|-0.790|12|4|8|-3.0|-0.650|-0.643|0.093|-0.500|-0.800|9|3|5|-1.1|||||||||-0.500|11/05/2019|-0.538|0.038|7.1|0.052|0.7|73.7|-30.2|-6.7|-0.661|-0.639|-1.944|-2.459|-2.627|08/07/2019|0.053|-0.410|-0.463|11.4|0.053|1.0|06/30/2019|03/09/2020|05/11/2020
00912||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0091N|12/31/2019|09/30/2019|3.243|3.245|0.005|3.255|3.238|18|4|8|-0.1|3.601|3.622|0.049|3.650|3.430|18|2|12|-0.6|4.020|4.031|0.027|4.070|3.970|13|0|1|-0.3|0.947|0.950|0.005|0.953|0.940|17|3|9|-0.3|0.733|0.740|0.048|0.840|0.700|7|2|3|-0.9|11.230|11.610|0.400|11.751|10.700|5|0|2|0.840|10/16/2019|0.841|-0.001|-0.1|0.005|-0.2|12.6|11.0|11.6|0.950|0.743|3.245|3.623|4.054|07/17/2019|0.018|0.820|0.802|2.2|0.007|2.6|06/30/2019|01/24/2020|04/20/2020
0093A||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00946|03/31/2020|06/30/2019|-0.270|-0.270||-0.270|-0.270|1|0|0|0.0|||||||||||||||||||-0.050|-0.050||-0.050|-0.050|1|0|0|0.0|-0.040|-0.040||-0.040|-0.040|1|0|0|0.0||||||||||10/18/2019|-0.130|-9998.870|||1.0|60.1|||-0.050|-0.040|-0.073|||07/23/2019|-0.150|-0.215|-0.065|-230.8|0.078|-1.9|03/31/2019|11/11/2019|01/31/2020
0095A|03/31/2020|09/30/2019|4.354|5.144|0.497|4.730|3.150|8|1|8|-15.4|4.939|5.224|1.132|6.030|2.310|8|5|4|-5.5|5.888|6.430|1.378|6.860|3.210|6|1|4|-8.4|1.005|1.123|0.250|1.130|0.390|8|2|6|-10.5|1.106|1.231|0.242|1.290|0.520|8|0|7|-10.2|||||||||0.280|10/31/2019|0.929|-0.649|-69.9|0.047|-13.8|-14.6|13.4|19.2|1.133|1.246|5.150|5.269|6.444|08/01/2019|0.961|1.930|0.969|99.2|0.070|13.7|06/30/2019|02/03/2020|05/04/2020
0096D||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00987|12/31/2019|09/30/2019|0.485|0.498|0.031|0.570|0.420|19|0|9|-2.6|0.783|0.819|0.093|0.920|0.600|20|1|9|-4.4|0.945|1.023|0.329|1.820|0.550|14|0|9|-7.6|0.165|0.171|0.019|0.200|0.130|18|1|7|-3.5|0.182|0.192|0.024|0.230|0.140|17|0|7|-5.2|28.087|29.015|22.646|44.100|12.074|2|0|2|0.100|11/07/2019|0.134|-0.034|-25.4|0.016|-2.1|-24.2|61.4|20.7|0.191|0.222|0.546|0.923|1.200|08/08/2019|-0.017|0.100|0.117|-14.5|0.018|-0.9|06/30/2019|03/11/2020|05/11/2020
009A6|12/31/2019|09/30/2019|0.573|0.572|0.122|0.830|0.470|7|1|5|0.2|0.770|0.744|0.122|0.920|0.620|7|3|3|3.5|0.940|0.867|0.143|1.150|0.830|4|2|1|8.4|0.149|0.158|0.041|0.210|0.090|7|1|4|-5.7|0.128|0.118|0.037|0.170|0.070|6|2|2|8.5|||||||||0.110|11/11/2019|0.142|-0.032|-22.5|0.018|-1.8|304.6|34.4|22.1|0.158|0.118|0.568|0.733|0.867|08/08/2019|0.040|0.190|0.150|26.7|0.018|2.2|06/30/2019|03/11/2020|05/27/2020
