FIELD_NAME|AVERAGE|HIGH|LOW|SAMPLE|MEDIAN|STDDEV
OCL_Y5|1818.54|736286.00|0.00|5315|18.20|20359.97
OCL_Y6|1789.45|651374.00|0.00|5126|16.80|19420.82
OCL_Y7|1872.37|713244.00|0.00|4898|16.50|19966.58
OLTA_Q1|414.04|284780.88|0.00|5819|5.84|4292.21
OLTA_Q2|386.23|81916.42|0.00|5813|5.68|2222.55
OLTA_Q3|374.95|76633.06|0.00|5782|5.49|2158.52
OLTA_Q4|396.11|77599.00|0.00|5779|5.78|2440.32
OLTA_Q5|352.68|44672.12|0.00|5723|5.25|1907.80
OLTA_Q6|358.70|43251.00|0.00|5660|5.29|1950.16
OLTA_Q7|385.28|157766.00|0.00|5565|5.30|2991.27
OLTA_Q8|401.05|166100.00|0.00|5504|5.39|3038.83
OLTA_Y1|441.03|90031.00|0.00|5761|6.80|2786.09
OLTA_Y2|449.34|166100.00|0.00|5729|5.80|3292.26
OLTA_Y3|514.10|216983.00|0.00|5578|6.00|4670.00
OLTA_Y4|471.25|132844.00|0.00|5358|6.50|3138.40
OLTA_Y5|571.25|311812.00|0.00|5193|6.20|6909.77
OLTA_Y6|494.18|298633.00|0.00|5002|5.80|5493.65
OLTA_Y7|631.98|857219.00|0.00|4685|5.00|12839.19
OLTL_Q1|910.62|277054.85|0.00|5862|10.50|5720.44
OLTL_Q2|889.72|128667.00|0.00|5844|10.82|4482.38
OLTL_Q3|844.58|124839.00|0.00|5684|10.50|4381.68
OLTL_Q4|829.59|107310.00|0.00|5537|7.87|4210.13
OLTL_Q5|778.74|115966.00|0.00|5466|8.00|4101.67
OLTL_Q6|827.72|113473.00|0.00|5416|8.10|4222.83
OLTL_Q7|829.84|154194.00|0.00|5324|8.25|4620.19
OLTL_Q8|895.84|162442.00|0.00|5280|8.59|4900.21
OLTL_Y1|792.12|107310.00|0.00|5731|7.00|4070.13
OLTL_Y2|805.46|94729.00|0.00|5672|6.40|4144.47
OLTL_Y3|843.92|115454.00|0.00|5521|6.00|4492.09
OLTL_Y4|836.50|112701.00|0.00|5355|5.30|4365.09
OLTL_Y5|857.91|146942.00|0.00|5215|5.30|4802.60
OLTL_Y6|833.96|134125.00|0.00|5072|4.60|4848.53
OLTL_Y7|959.44|200000.00|0.00|4856|4.70|5853.34
OPIN_G1Q5|-4.83|972.30|-996.70|4638|1.90|155.94
OPIN_G1T|-6.54|973.70|-995.90|4452|2.40|145.43
OPIN_G2Q6|-8.83|998.80|-987.70|5689|2.60|159.60
OPIN_G3Q7|-8.82|999.20|-982.90|5612|2.85|168.47
OPIN_G4Q8|-5.26|992.70|-992.80|5550|5.05|178.26
OPINC_G1F|2.73|986.50|-985.70|5040|8.20|161.91
OPINC_G3F|2.14|878.50|-833.50|4944|6.75|72.69
OPINC_G5F|-1.25|822.10|-769.50|4647|4.60|50.75
OPINC_G7F|3.23|178.60|-200.80|4042|5.00|23.90
OPM_12M|-10.55|556.32|-998.57|4498|7.68|115.02
OPM_A3Y|-2.70|478.69|-853.52|4743|7.49|81.49
OPM_A5Y|2.35|138.14|-631.94|4336|7.86|66.57
OPM_Y1|-16.26|736.09|-997.13|5037|7.44|125.95
OPM_Y2|-16.61|867.44|-998.58|5034|7.49|132.41
OPM_Y3|-16.19|859.59|-998.84|4950|7.36|126.18
OPM_Y4|-21.98|874.07|-970.59|4785|7.35|138.99
OPM_Y5|-14.01|198.92|-994.62|4611|8.58|126.78
OPM_Y6|-8.36|606.95|-992.52|4437|8.83|114.84
OPM_Y7|-9.01|808.23|-986.62|4299|9.05|116.12
OTHINC_12M|27.33|31511.24|-14369.66|4594|-0.08|885.33
OTHINC_Q1|5.19|7424.85|-11570.00|4821|-0.02|323.82
OTHINC_Q2|1.42|7499.00|-10590.26|6048|-0.02|297.09
OTHINC_Q3|-0.50|5973.38|-20490.00|6022|-0.02|338.13
OTHINC_Q4|15.47|38719.00|-29190.92|5989|0.00|783.71
OTHINC_Q5|-2.37|6320.54|-15022.00|5967|-0.01|282.74
OTHINC_Q6|10.55|31608.23|-6689.00|5942|0.00|474.96
OTHINC_Q7|5.97|7986.92|-5855.47|5878|-0.01|242.55
OTHINC_Q8|13.12|30176.60|-10445.88|5850|0.00|490.75
OTHINC_Y1|20.77|24622.00|-10880.00|5235|-0.03|820.41
OTHINC_Y2|14.32|19652.00|-7974.99|5966|0.00|693.49
OTHINC_Y3|25.61|19301.00|-9413.00|5836|0.00|723.33
OTHINC_Y4|31.70|23168.35|-10813.23|5596|0.00|811.26
OTHINC_Y5|21.10|30541.00|-17834.00|5407|0.00|891.65
OTHINC_Y6|21.99|22537.00|-17419.00|5228|0.00|832.60
OTHINC_Y7|8.74|29415.00|-29172.00|4979|0.00|1007.98
PAYOUT_12M|44.46|983.39|0.00|3036|17.77|95.36
PAYOUT_A7Y|43.17|705.53|0.00|1723|30.26|55.64
PAYOUT_Y1|39.07|961.72|0.00|3267|14.16|81.19
PAYOUT_Y2|43.58|936.55|0.00|3218|12.96|93.28
PAYOUT_Y3|45.09|994.74|0.00|3097|15.68|96.57
PAYOUT_Y4|44.05|955.90|0.00|2988|17.26|89.96
PAYOUT_Y5|42.79|975.17|0.00|3114|14.70|89.61
PAYOUT_Y6|38.69|993.11|0.00|3028|10.41|87.25
PAYOUT_Y7|36.14|976.81|0.00|2944|7.45|79.26
PBVPS|5.88|811.29|0.01|4995|1.83|29.84
PBVPS_1T|6.97|837.39|0.01|4918|1.91|33.57
PBVPS_A3Y|5.36|691.41|0.06|4188|2.09|25.57
PBVPS_A5Y|4.56|766.95|0.07|3741|2.10|20.40
PBVPS_A7Y|3.48|252.24|0.07|3224|1.96|8.59
PBVPSA_Y1|8.22|828.94|0.03|4946|2.19|38.43
PBVPSA_Y2|8.61|908.95|0.02|4683|2.22|45.51
PBVPSA_Y3|6.51|950.80|0.02|4417|1.98|35.45
PBVPSA_Y4|6.99|943.87|0.02|4279|2.15|35.76
PBVPSA_Y5|8.12|886.07|0.02|4131|2.19|39.41
PBVPSA_Y6|5.86|946.56|0.03|3843|1.95|30.69
PBVPSA_Y7|5.30|726.13|0.02|3637|1.71|25.10
PCFPS|93.81|991.43|0.11|2570|32.15|156.83
PCFPS_1T|88.00|997.06|0.10|2709|30.45|148.32
PCFPS_A3Y|102.59|765.88|1.09|480|60.95|113.94
PCFPS_A5Y|103.65|471.90|1.15|88|55.24|104.99
PCFPS_A7Y|116.37|382.88|1.05|24|41.33|120.06
PCFPSA_VAL|507.94|7821.61|0.60|50|137.99|1227.51
PCFPSA_Y1|106.53|998.37|0.16|2716|35.26|171.75
PCFPSA_Y2|99.45|988.61|0.11|2846|35.69|159.63
PCFPSA_Y3|104.62|988.46|0.10|2569|37.00|174.12
PCFPSA_Y4|102.37|994.74|0.24|2294|36.03|166.25
PCFPSA_Y5|101.31|982.54|0.13|2221|34.87|170.44
PCFPSA_Y6|88.86|988.37|0.22|2266|29.82|154.90
PCFPSA_Y7|91.24|999.66|0.11|2102|29.04|155.22
PE|37.25|953.28|0.13|3204|18.65|72.52
PE_1T|32.43|942.44|0.11|3258|17.25|64.78
PE_A3Y|28.93|400.85|0.42|2401|19.87|32.99
PE_A5Y|26.84|339.49|0.45|1995|19.93|25.31
PE_A7Y|25.19|346.46|0.44|1683|19.42|22.28
PE_AEPS3Y|40.44|994.95|0.12|3189|21.46|72.33
PE_EY0|29.08|877.79|0.34|2844|17.29|52.67
PE_EY1|26.71|967.00|0.42|3012|15.32|54.92
PE_EY2|24.09|904.50|0.46|2740|14.09|48.91
PE_TO_DG5F|4.06|647.90|0.10|2228|1.19|20.20
PE_TO_G5E|3.49|142.27|0.12|1199|2.07|7.76
PE_TO_G5F|5.05|996.90|0.10|2101|1.29|31.95
PE_TO_YG5E|4.64|298.27|0.12|1091|2.09|16.26
PEA_EVAL|99.43|3595.36|0.21|1597|61.25|188.10
PEA_VAL|114.22|23492.51|0.08|1852|53.83|620.71
PEA_Y1|38.84|987.50|0.18|3238|18.80|80.89
PEA_Y2|36.38|969.70|0.21|3204|20.33|67.44
PEA_Y3|33.57|890.98|0.10|2944|18.52|65.25
PEA_Y4|33.15|869.87|0.19|2833|19.37|57.27
PEA_Y5|34.24|997.43|0.14|2954|19.82|60.79
PEA_Y6|32.59|882.69|0.25|2802|18.38|63.31
PEA_Y7|29.03|888.53|0.15|2659|15.94|58.15
PEH_A3Y|38.68|889.75|0.52|2412|24.09|60.32
PEH_A5Y|35.51|727.71|0.55|2008|23.83|49.70
PEH_A7Y|34.94|962.33|0.53|1703|23.08|55.50
PEH_Y1|96.05|69010.00|0.10|3265|23.07|1273.45
PEH_Y2|83.20|27020.30|0.11|3236|24.39|642.50
PEH_Y3|68.25|13331.40|0.11|2964|23.13|408.44
PEH_Y4|73.65|18928.60|0.30|2850|23.47|549.13
PEH_Y5|83.33|35761.60|0.17|2967|23.71|901.83
PEL_A3Y|25.23|948.49|0.32|2417|15.51|51.78
PEL_A5Y|23.14|791.22|0.34|2010|15.95|36.04
PEL_A7Y|23.35|822.30|0.34|1706|15.61|42.32
PEL_Y1|53.50|43487.00|0.12|3250|14.24|798.86
PEL_Y2|48.13|14317.70|0.11|3227|16.28|344.71
PEL_Y3|34.64|5833.33|0.11|2954|14.12|193.59
PEL_Y4|67.65|79444.40|0.14|2843|15.33|1515.62
PEL_Y5|37.15|12715.20|0.12|2963|15.70|283.04
PERA_5Y|1.71|163.36|0.12|2009|1.04|5.13
PERAPE|31.78|3040.10|0.43|2013|19.31|95.42
PERH_A5Y|1.73|149.58|0.11|2011|1.01|5.22
PERL_A5Y|1.69|177.14|0.12|2007|1.06|5.12
PERV|94.28|17405.10|0.13|1921|45.25|476.59
PERVP|164.64|66609.20|0.60|1924|96.50|1694.88
PF_TO_F_GR|6.43|1359.64|0.01|1619|1.19|41.93
PF_TO_F_GT|3.20|616.12|0.01|1448|0.33|24.38
PFCPS|42.40|972.96|0.12|2706|20.21|83.72
PFCPS_1T|41.96|998.23|0.10|2743|19.83|81.41
PFCPS_A3Y|34.94|362.91|0.30|1843|22.95|42.82
PFCPS_A5Y|33.86|346.82|0.27|1368|23.78|34.09
PFCPS_A7Y|31.62|203.37|0.24|1058|23.06|28.01
PFCPSA_VAL|144.30|20518.34|0.02|1187|61.90|648.35
PFCPSA_Y1|44.95|974.23|0.23|2750|21.68|84.45
PFCPSA_Y2|45.39|990.60|0.16|2656|22.12|90.22
PFCPSA_Y3|38.71|896.72|0.10|2685|19.27|77.64
PFCPSA_Y4|42.74|870.45|0.16|2509|20.72|82.32
PFCPSA_Y5|47.03|995.56|0.21|2317|22.38|86.26
PFCPSA_Y6|40.74|996.21|0.20|2299|18.96|82.65
PFCPSA_Y7|33.39|999.03|0.12|2113|15.95|67.45
PGFPS|35.95|999.75|0.15|1082|16.10|84.78
PR_BV_CHG|9.69|8569.18|-946.53|4405|-0.05|180.80
PR_PRH_52W|67.22|100.00|0.00|6109|77.00|29.12
PRCHG_04W|1.15|905.12|-94.72|6096|0.61|28.58
PRCHG_13W|4.26|4066.67|-99.05|6065|1.45|99.31
PRCHG_26W|15.20|48966.66|-99.96|5996|-1.08|762.19
PRCHG_52W|9.41|24900.00|-100.00|5861|-2.37|398.24
PRCHG_AM3Y|44.24|41630.43|-311.34|5189|9.33|684.67
PRCHG_GM3Y|-2.79|599.80|-99.50|5203|0.00|38.53
PRCHG_SD3Y|108.19|72082.78|0.00|5189|38.69|1142.99
PREF_Q1|87.55|139966.00|-4042.00|6122|0.00|2215.09
PREF_Q2|89.07|139966.00|-4046.00|6122|0.00|2228.45
PREF_Q3|86.94|139966.00|-3549.00|6122|0.00|2214.44
PREF_Q4|86.60|139966.00|-3543.70|6122|0.00|2223.17
PREF_Q5|84.78|139966.00|-3552.60|6122|0.00|2210.47
PREF_Q6|88.14|139966.00|-3558.20|6122|0.00|2227.29
PREF_Q7|83.80|139966.00|-2825.90|6122|0.00|2214.75
PREF_Q8|86.48|136279.00|-2855.50|6122|0.00|2189.26
PREF_Y1|91.26|139966.00|-3543.70|6123|0.00|2231.14
PREF_Y2|93.72|136279.00|-2855.50|6123|0.00|2195.95
PREF_Y3|88.97|136279.00|-1873.70|6123|0.00|2187.68
PREF_Y4|83.39|136279.00|-998.60|6123|0.00|2168.78
PREF_Y5|73.20|136279.00|-659.40|6123|0.00|2131.20
PREF_Y6|68.98|136279.00|-405.70|6123|0.00|2100.66
PREF_Y7|69.60|136279.00|-711.40|6123|0.00|2104.05
PRICE|94.13|329405.00|0.00|6118|11.91|4219.99
PRICE_M001|94.12|329405.00|0.00|6119|11.91|4219.64
PRICE_M002|92.12|318939.00|0.00|6102|11.75|4092.28
PRICE_M003|91.09|311832.00|0.00|6081|11.73|4009.70
PRICE_M004|89.82|303078.00|0.00|6064|11.36|3903.28
PRICE_M005|92.41|308666.00|0.00|6042|12.39|3981.77
PRICE_M006|93.82|318350.00|0.00|6019|12.70|4112.82
PRICE_M007|88.73|297060.00|0.00|5992|12.20|3847.63
PRICE_M008|96.71|325080.00|0.00|5950|13.43|4224.25
PRICE_M009|91.50|301215.00|0.00|5922|13.18|3924.67
PRICE_M010|92.32|302200.00|0.00|5901|13.58|3945.13
PRICE_M011|92.78|311500.00|0.00|5883|13.39|4071.65
PRICE_M012|89.63|306000.00|0.00|5871|12.23|4004.90
PRICE_M013|97.02|326000.00|0.00|5855|13.88|4270.95
PRICE_M014|94.42|307705.00|0.00|5841|14.11|4038.14
PRICE_M015|100.90|320000.07|0.00|5806|15.70|4211.98
PRICE_M016|100.49|315800.00|0.00|5772|16.10|4168.51
PRICE_M017|101.32|301550.00|0.00|5753|16.00|3996.89
PRICE_M018|102.34|282040.00|0.00|5721|16.10|3780.67
PRICE_M019|110.99|287200.00|0.00|5679|16.30|3955.24
PRICE_M020|121.05|290650.00|0.00|5640|15.95|4160.56
PRICE_M021|173.00|365400.13|0.00|5627|15.89|6332.79
PRICE_M022|192.02|393120.29|0.00|5592|16.08|6808.65
PRICE_M023|199.79|385560.11|0.00|5568|16.87|6896.99
PRICE_M024|193.33|372960.06|0.00|5545|16.75|6586.31
PRICE_M025|188.17|335160.14|0.00|5525|16.60|6244.40
PRICE_M026|217.98|504000.22|0.00|5485|16.40|7980.97
PRICE_M027|207.73|444780.29|0.00|5451|16.65|7319.10
PRICE_M028|221.24|476280.30|0.00|5422|16.04|7761.41
PRICE_M029|145.04|262786.00|0.00|5403|16.34|4530.06
PRICE_M030|153.43|254700.00|0.00|5379|16.30|4573.09
PRICE_M031|151.64|248440.00|0.00|5350|16.08|4175.64
PRICE_M032|175.76|269531.42|0.00|5321|16.48|5169.93
PRICE_M033|225.58|460234.64|0.00|5289|16.49|7346.84
PRICE_M034|260.54|561015.95|0.00|5268|16.26|8741.67
PRICE_M035|277.65|585859.69|0.00|5254|16.25|9096.94
PRICE_M036|466.61|968750.37|0.00|5240|15.96|15755.96
PRICE_M037|380.10|934920.47|0.00|5211|15.80|14148.46
PRICE_M038|390.60|992188.43|0.00|5198|15.09|14802.47
PRICE_M039|239.78|368156.65|0.00|5163|15.75|6849.58
PRICE_M040|257.33|589050.56|0.00|5139|15.49|8913.16
PRICE_M041|300.16|632188.08|0.00|5123|15.19|9900.29
PRICE_M042|363.14|595238.60|0.00|5104|14.66|10799.20
PRICE_M043|435.92|719950.69|0.00|5085|14.99|13704.89
PRICE_M044|502.81|880000.67|0.00|5069|15.17|16813.70
PRICE_M045|412.00|684250.70|0.00|5054|14.91|12180.71
PRICE_M046|474.01|655214.68|0.00|5039|13.86|13547.24
PRICE_M047|593.24|738000.54|0.00|5030|14.11|16716.65
PRICE_M048|580.90|960000.06|0.00|5020|15.82|18091.42
PRICE_M049|487.56|814500.24|0.00|5002|16.44|13882.92
PRICE_M050|561.39|967500.51|0.00|4977|16.35|16196.36
PRICE_M051|413.49|672000.05|0.00|4956|15.71|10874.40
PRICE_M052|426.15|750000.15|0.00|4940|16.80|11868.01
PRICE_M053|421.96|515000.09|0.00|4925|17.78|9402.33
PRICE_M054|383.56|280000.12|0.00|4894|18.51|7091.70
PRICE_M055|451.35|500000.23|0.00|4858|18.36|10225.33
PRICE_M056|474.48|500000.23|0.00|4835|18.67|11072.90
PRICE_M057|505.25|500000.23|0.00|4808|18.63|11398.29
PRICE_M058|579.88|500000.23|0.00|4792|18.60|12269.28
PRICE_M059|573.26|500000.23|0.00|4774|17.79|11762.79
PRICE_M060|560.80|464000.20|0.00|4752|18.31|12079.87
PRICE_M061|843.91|743750.39|0.00|4737|18.17|18630.97
PRICE_M062|976.81|962500.52|0.00|4707|18.48|21684.83
PRICE_M063|787.71|827000.25|0.00|4669|18.25|17154.11
PRICE_M064|951.61|981000.29|0.00|4647|19.11|20681.92
PRICE_M065|901.95|952000.29|0.00|4632|18.70|20395.53
PRICE_M066|888.17|924000.39|0.00|4592|19.58|18900.72
PRICE_M067|917.12|918750.31|0.00|4562|19.05|19335.93
PRICE_M068|1029.78|991000.34|0.00|4530|18.99|22247.73
PRICE_M069|862.78|600000.09|0.00|4501|19.85|16130.70
PRICE_M070|676.23|450000.10|0.00|4470|19.71|11346.23
PRICE_M071|761.51|480000.10|0.00|4446|19.18|12521.20
PRICE_M072|638.88|300000.10|0.00|4425|19.50|10097.75
PRICE_M073|780.79|599999.89|0.00|4402|19.22|14308.91
PRICE_M074|900.18|599999.89|0.00|4376|18.68|16920.65
PRICE_M075|1212.77|940187.74|0.00|4338|18.34|26066.23
PRICE_M076|1166.84|957600.26|0.00|4316|17.56|25546.41
PRICE_M077|1273.73|986000.31|0.00|4294|17.90|28604.97
PRICE_M078|1021.91|978000.32|0.00|4279|17.00|23416.01
PRICE_M079|868.39|994000.31|0.00|4254|17.46|19683.72
PRICE_M080|922.70|998000.31|0.00|4231|17.09|22201.83
PRICE_M081|516.90|351000.26|0.00|4207|16.95|9179.38
PRICE_M082|747.01|935000.28|0.00|4191|16.48|17183.19
PRICE_M083|727.18|637500.25|0.00|4172|16.43|15718.94
PRICE_M084|874.29|944000.29|0.00|4159|15.43|19016.79
PRICE_M085|998.10|950000.33|0.00|4150|15.03|21224.75
PRICE_M086|851.34|800000.03|0.00|4138|15.19|18920.39
PRICE_M087|1119.69|997000.29|0.00|4114|15.48|24608.52
PRICE_M088|1229.93|990000.02|0.00|4106|14.93|27083.46
PRICE_M089|1210.33|966000.33|0.00|4096|14.68|25996.31
PRICE_M090|923.51|851000.23|0.00|4084|15.00|20505.44
PRICE_M091|693.35|850000.30|0.00|4074|14.23|15411.58
PRICE_M092|1133.82|993000.29|0.00|4060|15.41|22974.26
PRICE_M093|741.62|380000.01|0.00|4041|15.73|11944.88
PRICE_M094|836.16|401000.08|0.00|4017|15.48|12852.70
PRICE_M095|1058.70|960000.29|0.00|3997|15.19|21062.59
PRICE_M096|1088.36|930000.26|0.00|3985|14.20|21783.20
PRICE_M097|888.45|834000.21|0.00|3974|14.31|17394.14
PRICE_M098|841.47|590000.01|0.00|3954|14.50|14599.19
PRICE_M099|730.52|620000.03|0.00|3940|13.34|13708.15
PRICE_M100|1013.94|945001.06|0.00|3937|15.02|21532.57
PRICE_M101|841.41|548100.36|0.00|3919|16.30|14385.04
PRICE_M102|659.75|352165.19|0.00|3903|16.77|10181.25
PRICE_M103|802.28|507305.63|0.00|3889|17.10|13358.41
PRICE_M104|965.33|642096.50|0.00|3876|17.58|16191.57
PRICE_M105|983.66|599125.43|0.00|3854|17.39|17933.51
PRICE_M106|1117.66|700000.02|0.00|3845|17.07|21228.74
PRICE_M107|1242.57|999999.71|0.00|3834|16.64|25767.74
PRICE_M108|629.71|671999.97|0.00|3821|16.67|13548.85
PRICE_M109|592.45|632000.01|0.00|3800|15.48|12495.45
PRICE_M110|833.04|874000.02|0.00|3781|15.40|19301.74
PRICE_M111|641.35|632000.01|0.00|3768|15.00|12895.83
PRICE_M112|535.99|416000.02|0.00|3752|13.49|9997.49
PRICE_M113|634.98|543999.90|0.00|3737|14.62|12512.26
PRICE_M114|740.59|545999.94|0.00|3724|13.72|14164.38
PRICE_M115|910.11|650000.03|0.00|3711|14.77|16701.14
PRICE_M116|967.68|761999.93|0.00|3692|16.17|18169.77
PRICE_M117|987.50|769999.93|0.00|3672|15.48|18421.11
PRICE_M118|961.97|801999.89|0.00|3656|14.46|19087.30
PRICE_M119|1053.57|879999.97|0.00|3636|14.06|21595.80
PRICE_M120|866.91|770814.11|0.00|3477|14.25|17965.65
PRICE_Y1|88.50|306000.00|0.00|5892|12.01|3994.66
PRICE_Y2|192.06|372960.06|0.00|5579|16.55|6567.14
PRICE_Y3|1998.42|8100015.96|0.00|5290|15.71|112450.25
PRICE_Y4|11192.16|34424484.81|0.00|5077|15.31|516763.92
PRICE_Y5|99690.97|0.00|0.00|4828|17.91|5454001.86
PRICE_Y6|2470800.27|0.00|0.00|4520|19.29|0.00
PRICE_Y7|940222945.2|0.00|0.00|4256|15.02|0.00
PRICEH_52W|104.81|335041.00|0.00|6118|17.50|4295.57
PRICEH_Y1|224.66|450828.09|0.00|5886|21.20|7590.66
PRICEH_Y2|5007.09|17820034.74|0.00|5575|21.61|260246.87
PRICEH_Y3|15772.78|39690017.21|0.00|5297|20.39|692430.03
PRICEH_Y4|143997.28|0.00|0.00|5088|23.11|7692386.96
PRICEH_Y5|20989511.35|0.00|0.00|4839|24.57|0.00
PRICEH_Y6|1723226024|0.00|0.00|4528|23.19|0.00
PRICEH_Y7|6382908109|0.00|0.00|4278|19.50|0.00
PRICEHM001|96.54|335000.00|0.00|6101|12.77|4297.74
PRICEHM002|94.93|320500.00|0.00|6065|12.90|4125.88
PRICEHM003|95.52|321833.00|0.00|6046|13.07|4149.60
PRICEHM004|95.04|316000.00|0.00|6028|13.23|4081.14
PRICEHM005|97.60|324711.00|0.00|6002|13.80|4201.67
PRICEHM006|96.00|319960.00|0.00|5984|13.85|4145.77
PRICEHM007|98.20|328555.00|0.00|5966|14.39|4263.25
PRICEHM008|98.23|325844.94|0.00|5920|14.54|4244.47
PRICEHM009|95.45|311299.00|0.00|5905|14.75|4061.42
PRICEHM010|96.03|313960.00|0.00|5885|14.90|4103.35
PRICEHM011|94.42|311890.00|0.00|5869|14.38|4082.03
PRICEHM012|99.59|335041.00|0.00|5851|14.66|4391.55
PRICEHM013|102.11|335109.07|0.00|5835|15.60|4397.98
PRICEHM014|106.44|335900.00|0.00|5811|16.40|4421.52
PRICEHM015|109.15|334560.00|0.00|5774|17.27|4423.74
PRICEHM016|107.66|317850.00|0.00|5746|17.46|4215.58
PRICEHM017|114.63|304399.50|0.00|5716|17.63|4120.30
PRICEHM018|125.25|295302.50|0.00|5689|17.94|4144.49
PRICEHM019|132.25|303530.00|0.00|5656|17.74|4439.66
PRICEHM020|145.17|304200.00|0.00|5625|17.43|4779.29
PRICEHM021|209.81|441000.19|0.00|5605|17.62|7422.21
PRICEHM022|209.53|403200.27|0.00|5568|17.95|7151.10
PRICEHM023|227.36|450828.09|0.00|5553|18.75|7739.73
PRICEHM024|220.26|418118.53|0.00|5523|18.00|7296.58
PRICEHM025|261.14|514080.22|0.00|5496|17.95|9037.65
PRICEHM026|260.40|655200.38|0.00|5466|17.91|9924.58
PRICEHM027|249.43|572040.37|0.00|5431|17.65|8986.10
PRICEHM028|363.03|1108548.52|0.00|5404|17.44|15841.70
PRICEHM029|429.40|1310400.53|0.00|5385|17.55|18866.65
PRICEHM030|446.78|1398600.65|0.00|5366|17.51|19764.09
PRICEHM031|678.32|1625400.67|0.00|5337|17.70|26965.74
PRICEHM032|1279.93|3924008.45|0.00|5310|17.60|58817.92
PRICEHM033|2372.68|9000017.73|0.00|5284|17.55|127299.20
PRICEHM034|4158.73|17820034.74|0.00|5256|17.66|247893.02
PRICEHM035|3722.45|9648020.45|0.00|5250|17.63|170792.80
PRICEHM036|3091.60|12060025.20|0.00|5230|17.31|169193.81
PRICEHM037|6761.73|30240058.49|0.00|5194|17.30|420975.91
PRICEHM038|3799.51|13212026.38|0.00|5184|16.77|190403.93
PRICEHM039|4864.10|17358154.55|0.00|5150|17.00|249307.48
PRICEHM040|7848.44|30240058.49|0.00|5135|16.87|429683.48
PRICEHM041|6118.40|17640033.67|0.00|5118|16.34|274676.90
PRICEHM042|5692.51|11428961.62|0.00|5099|16.25|227702.59
PRICEHM043|6412.16|15876007.69|0.00|5076|16.26|268332.02
PRICEHM044|8637.03|21873607.56|0.00|5061|16.50|364578.65
PRICEHM045|8956.22|22314618.37|0.00|5051|15.88|390137.82
PRICEHM046|10909.42|33339623.95|0.00|5036|15.23|517912.83
PRICEHM047|13436.25|39690017.21|0.00|5031|16.16|606157.65
PRICEHM048|20309.62|48951030.40|0.00|5021|17.25|821043.37
PRICEHM049|26965.46|87318046.85|0.00|5000|17.82|1317342.04
PRICEHM050|28932.18|76442988.63|0.00|4979|17.80|1229604.71
PRICEHM051|33528.48|0.00|0.00|4964|17.81|1576497.06
PRICEHM052|30475.44|84142852.99|0.00|4934|18.81|1351745.57
PRICEHM053|50227.92|0.00|0.00|4931|19.73|2579120.25
PRICEHM054|91110.12|0.00|0.00|4903|20.11|5330175.21
PRICEHM055|88673.92|0.00|0.00|4876|20.00|4972578.58
PRICEHM056|89893.43|0.00|0.00|4849|20.10|4706563.97
PRICEHM057|91671.63|0.00|0.00|4824|19.96|4547365.95
PRICEHM058|98303.38|0.00|0.00|4805|19.95|4922094.16
PRICEHM059|174091.62|0.00|0.00|4789|19.76|8237302.99
PRICEHM060|195263.87|0.00|0.00|4764|19.74|7475078.75
PRICEHM061|337166.06|0.00|0.00|4764|19.71|15496677.70
PRICEHM062|643154.06|0.00|0.00|4727|19.45|36772557.49
PRICEHM063|2252558.10|0.00|0.00|4702|20.00|0.00
PRICEHM064|4420061.46|0.00|0.00|4670|19.94|0.00
PRICEHM065|4435763.96|0.00|0.00|4663|20.50|0.00
PRICEHM066|11007561.47|0.00|0.00|4625|20.53|0.00
PRICEHM067|13285050.91|0.00|0.00|4590|20.30|0.00
PRICEHM068|22201898.36|0.00|0.00|4555|21.13|0.00
PRICEHM069|9127590.71|0.00|0.00|4526|21.42|0.00
PRICEHM070|13596364.43|0.00|0.00|4509|20.99|0.00
PRICEHM071|33806992.83|0.00|0.00|4480|20.99|0.00
PRICEHM072|51905155.24|0.00|0.00|4457|20.50|0.00
PRICEHM073|38614514.08|0.00|0.00|4431|20.27|0.00
PRICEHM074|68316534.48|0.00|0.00|4409|20.17|0.00
PRICEHM075|135447697.1|0.00|0.00|4366|19.38|0.00
PRICEHM076|170358789.6|0.00|0.00|4351|19.15|0.00
PRICEHM077|265970276.3|0.00|0.00|4329|19.00|0.00
PRICEHM078|1066872397|0.00|0.00|4313|18.32|0.00
PRICEHM079|133156336.6|0.00|0.00|4289|18.77|0.00
PRICEHM080|1521356415|0.00|0.00|4267|18.00|0.00
PRICEHM081|1837862060|0.00|0.00|4245|18.00|0.00
PRICEHM082|1392959768|0.00|0.00|4237|17.72|0.00
PRICEHM083|566764122.5|0.00|0.00|4220|17.31|0.00
PRICEHM084|1190943692|0.00|0.00|4200|16.20|0.00
PRICEHM085|6524312199|0.00|0.00|4185|16.09|0.00
PRICEHM086|6453448516|0.00|0.00|4169|16.43|0.00
PRICEHM087|4337153752|0.00|0.00|4151|16.44|0.00
PRICEHM088|3627461700|0.00|0.00|4136|16.00|0.00
PRICEHM089|3398051353|0.00|0.00|4121|16.17|0.00
PRICEHM090|4361337429|0.00|0.00|4128|15.52|0.00
PRICEHM091|495494.91|0.00|0.00|4114|16.22|18117886.83
PRICEHM092|555998.29|0.00|0.00|4099|16.75|19407386.46
PRICEHM093|489838.68|0.00|0.00|4084|16.93|15130006.39
PRICEHM094|656749.63|0.00|0.00|4064|16.82|23252967.92
