FIELD_NAME|AVERAGE|HIGH|LOW|SAMPLE|MEDIAN|STDDEV
INCTAX_Q6|31.44|3422.00|-1143.00|5860|0.14|179.96
INCTAX_Q7|25.59|3829.00|-1977.44|5833|0.08|157.31
INCTAX_Q8|20.42|5356.00|-6592.25|5888|0.02|252.37
INCTAX_Y1|103.06|11715.00|-3342.00|6007|0.53|552.83
INCTAX_Y2|100.22|11857.00|-7874.87|6008|0.29|560.87
INCTAX_Y3|100.16|15738.00|-3634.00|5883|0.53|554.82
INCTAX_Y4|187.37|523663.21|-6213.00|5724|0.41|6944.52
INCTAX_Y5|202.78|430592.03|-6690.85|5599|0.75|5797.32
INCTAX_Y6|214.59|504167.78|-45415.00|5568|0.45|6963.69
INCTAX_Y7|212.92|406675.92|-34831.00|5424|0.36|5904.31
INS_PR_SHR|1.13|854.33|-70.70|5519|0.00|18.10
INSDNS|1335.03|5281000.00|-189908.00|5691|0.00|70743.06
INSDPS|1826.69|5281000.00|0.00|6123|9.00|68090.57
INSDPT|4.18|72.00|0.00|5550|2.00|4.99
INSDSS|585.86|190000.00|0.00|6123|0.00|5635.51
INSDST|2.32|25.00|0.00|5550|1.00|3.28
INSTPS|3848.98|583539.00|0.00|6123|581.00|13390.80
INSTSS|3023.52|167149.00|0.00|6123|424.00|7914.56
INT_12M|75.46|29932.00|-0.13|5701|0.00|992.39
INT_Q1|21.02|12159.47|-0.57|6084|0.00|299.30
INT_Q2|27.95|15079.00|-0.55|6086|0.00|394.15
INT_Q3|21.05|11033.12|-0.51|6080|0.00|296.31
INT_Q4|24.60|11044.00|0.00|6074|0.00|347.49
INT_Q5|18.86|10991.24|0.00|6067|0.00|271.02
INT_Q6|22.96|14848.59|0.00|6071|0.00|347.57
INT_Q7|16.37|11154.35|0.00|6062|0.00|249.06
INT_Q8|21.39|16781.68|0.00|6063|0.00|355.72
INT_Y1|75.49|24266.00|0.00|5972|0.00|944.31
INT_Y2|65.04|34324.90|0.00|5966|0.00|886.34
INT_Y3|62.07|34100.08|0.00|5965|0.00|877.98
INT_Y4|60.71|37206.90|0.00|5951|0.00|895.56
INT_Y5|65.30|39526.82|0.00|5940|0.00|967.47
INT_Y6|67.99|43745.66|0.00|5926|0.00|1012.00
INT_Y7|107.57|106063.90|0.00|5928|0.00|1950.38
INTNO_12M|75.16|8485.00|0.00|5196|0.62|302.57
INTNO_Q1|18.50|2083.00|0.00|5741|0.11|75.74
INTNO_Q2|19.96|2149.00|0.00|5771|0.11|83.55
INTNO_Q3|17.93|2141.00|0.00|5757|0.11|74.57
INTNO_Q4|19.61|2600.31|0.00|5723|0.10|87.14
INTNO_Q5|17.75|2508.48|0.00|5722|0.09|78.42
INTNO_Q6|18.76|2109.00|0.00|5726|0.08|80.18
INTNO_Q7|16.21|1771.00|0.00|5686|0.07|66.24
INTNO_Q8|18.75|2850.17|0.00|5672|0.07|85.82
INTNO_Y1|74.21|7957.00|0.00|5658|0.98|292.42
INTNO_Y2|71.60|7014.00|0.00|5676|0.71|283.63
INTNO_Y3|69.60|6956.00|0.00|5578|0.56|273.83
INTNO_Y4|64.11|5919.00|0.00|5417|0.45|247.94
INTNO_Y5|59.81|5339.00|0.00|5248|0.35|231.90
INTNO_Y6|59.86|4665.00|0.00|5106|0.29|234.81
INTNO_Y7|71.48|18335.00|0.00|4952|0.24|403.89
INV_Q1|342.69|73279.00|0.00|5948|0.02|1891.12
INV_Q2|348.80|68492.00|0.00|5956|0.02|1885.49
INV_Q3|339.02|65369.00|0.00|5928|0.01|1845.59
INV_Q4|349.86|62567.00|0.00|5926|0.00|1892.40
INV_Q5|340.92|62038.00|0.00|5899|0.01|1832.29
INV_Q6|340.20|61250.00|0.00|5856|0.00|1817.68
INV_Q7|323.07|61303.00|0.00|5820|0.00|1747.53
INV_Q8|331.98|50147.00|0.00|5792|0.00|1762.31
INV_Y1|360.38|62567.00|0.00|5845|0.10|1913.94
INV_Y2|339.33|43783.00|0.00|5811|0.10|1732.80
INV_Y3|312.59|43199.00|0.00|5767|0.10|1605.25
INV_Y4|314.39|47257.00|0.00|5665|0.00|1639.50
INV_Y5|353.08|133520.00|0.00|5569|0.00|2513.66
INV_Y6|357.86|77782.80|0.00|5462|0.00|2218.60
INV_Y7|381.90|160043.00|0.00|5317|0.00|2965.19
INVTRN_12M|17.27|908.91|0.00|2829|5.07|55.04
INVTRN_Y1|17.91|946.50|0.01|2896|5.54|53.10
INVTRN_Y2|17.17|808.47|0.00|2851|5.50|45.29
INVTRN_Y3|17.92|933.96|0.00|2789|5.45|52.14
INVTRN_Y4|17.47|776.86|0.00|2690|5.49|48.92
INVTRN_Y5|18.14|796.05|0.01|2594|5.72|51.27
INVTRN_Y6|16.45|627.18|0.01|2467|5.66|39.61
INVTRN_Y7|17.83|970.48|0.01|2368|6.13|48.90
IW_EE|6.42|342.59|0.01|1363|4.18|12.32
IW_EPH|264.00|6986.16|0.42|840|149.55|545.95
IW_EPL|112.81|84203.55|0.13|2010|35.57|1909.04
IW_EYIELD|1.88|44.55|0.00|1646|1.37|2.78
IW_PAR|16.18|94.05|-39.32|711|14.50|11.14
IW_PBUY|126.72|3869.58|3.03|840|78.22|225.77
IW_PLH|11.16|276.19|-560.30|839|12.65|43.17
IW_RV|102.08|724.48|1.44|1905|93.20|58.85
IW_SGB|17.78|96.40|7.00|5239|12.00|15.15
IW_TR|20.68|130.07|-37.22|713|18.32|12.90
LDFCF12M|15.97|3439.64|0.00|2666|3.47|98.76
LIAB_Q1|13355.01|3484094.00|0.00|5982|352.55|108302.78
LIAB_Q2|13846.95|3436922.00|0.00|6062|328.94|112564.65
LIAB_Q3|13282.86|3415673.00|0.00|5997|318.73|110291.48
LIAB_Q4|13580.48|3412078.00|0.00|5940|315.84|110294.03
LIAB_Q5|13084.10|3394130.00|0.00|5906|290.87|108939.00
LIAB_Q6|13663.64|3355905.00|0.00|5824|301.96|110858.92
LIAB_Q7|13443.98|3360464.00|0.00|5747|292.11|110498.32
LIAB_Q8|13258.85|3349215.00|0.00|5637|302.67|106147.46
LIAB_Y1|13427.64|3412080.00|0.00|6083|287.80|109453.05
LIAB_Y2|13143.53|3349220.00|0.00|6040|254.20|108116.17
LIAB_Y3|13103.83|3281900.00|0.00|5897|230.70|107974.54
LIAB_Y4|13201.08|3217890.00|0.00|5642|245.30|107938.61
LIAB_Y5|15326.13|9719350.00|0.00|5417|229.40|173515.13
LIAB_Y6|15014.90|9009110.00|0.00|5212|207.75|166867.74
LIAB_Y7|15861.68|9352690.00|0.00|4960|203.50|176693.20
LTD_EQ_Q1|68.70|981.94|0.00|5014|23.95|119.03
LTD_EQ_Y1|67.70|997.65|0.00|4975|23.45|118.53
LTD_EQ_Y2|65.13|993.56|0.00|4839|23.10|113.11
LTD_EQ_Y3|68.10|982.60|0.00|4666|25.01|118.68
LTD_EQ_Y4|65.49|961.82|0.00|4540|22.83|112.28
LTD_EQ_Y5|62.62|999.82|0.00|4428|20.98|111.73
LTD_EQ_Y6|58.66|994.12|0.00|4200|18.60|109.38
LTD_EQ_Y7|59.21|991.72|0.00|3990|18.87|110.17
LTD_TC_Q1|33.70|998.97|0.00|5347|21.70|56.82
LTD_TC_Y1|32.70|857.14|0.00|5348|21.37|51.29
LTD_TC_Y2|32.20|811.11|0.00|5276|20.56|48.17
LTD_TC_Y3|33.73|896.39|0.00|5129|22.34|52.20
LTD_TC_Y4|33.01|990.54|0.00|4926|21.00|53.01
LTD_TC_Y5|31.43|952.94|0.00|4780|19.32|51.40
LTD_TC_Y6|30.14|877.78|0.00|4580|18.11|50.12
LTD_TC_Y7|29.68|957.14|0.00|4333|17.41|48.92
LTD_WC_Q1|118.67|991.51|0.00|3164|30.21|191.53
LTDEBT_Q1|3420.43|3461858.00|0.00|6123|23.95|52947.82
LTDEBT_Q2|3457.50|3416579.00|0.00|6123|22.29|52276.50
LTDEBT_Q3|3357.45|3395010.00|0.00|6123|20.13|51702.24
LTDEBT_Q4|3375.93|3391920.00|0.00|6123|18.39|51615.62
LTDEBT_Q5|3275.63|3374370.00|0.00|6123|16.73|51109.59
LTDEBT_Q6|3287.72|3337489.00|0.00|6123|14.51|50562.76
LTDEBT_Q7|3188.52|3340472.00|0.00|6123|12.62|50356.02
LTDEBT_Q8|3203.07|3330054.00|0.00|6123|10.31|50880.29
LTDEBT_Y1|2522.22|282031.00|0.00|6123|21.00|13259.88
LTDEBT_Y2|2395.70|284080.00|0.00|6123|15.00|12781.76
LTDEBT_Y3|2322.95|295245.00|0.00|6123|10.60|12736.41
LTDEBT_Y4|2211.00|288651.00|0.00|6123|6.00|12285.19
LTDEBT_Y5|2051.56|276379.00|0.00|6123|3.10|11951.74
LTDEBT_Y6|1909.06|305150.00|0.00|6123|1.20|11708.16
LTDEBT_Y7|1816.75|312407.00|0.00|6123|0.30|11926.61
LTINV_Q1|3088.25|3384208.00|0.00|5790|0.00|57911.76
LTINV_Q2|3185.90|3338421.00|0.00|5781|0.00|57579.95
LTINV_Q3|3033.68|3326128.00|0.00|5716|0.00|56897.44
LTINV_Q4|3204.36|3327629.00|0.00|5734|0.00|58195.92
LTINV_Q5|3080.13|3307170.00|0.00|5672|0.00|57678.90
LTINV_Q6|3099.20|3271028.00|0.00|5626|0.00|56616.86
LTINV_Q7|2967.20|3281472.00|0.00|5565|0.00|56199.97
LTINV_Q8|3147.89|3237517.00|0.00|5500|0.00|56856.45
LTINV_Y1|2306.49|724525.00|0.00|5485|0.00|25042.86
LTINV_Y2|2201.75|716710.00|0.00|5413|0.00|23991.80
LTINV_Y3|2136.14|656680.00|0.00|5341|0.00|22837.74
LTINV_Y4|2168.82|689180.00|0.00|5254|0.00|23668.51
LTINV_Y5|2385.80|889354.00|0.00|5175|0.00|27391.04
LTINV_Y6|2488.71|982768.00|0.00|5094|0.00|30005.49
LTINV_Y7|2033.59|602819.00|0.00|4968|0.00|21653.85
MINOR_Q1|160.50|74029.00|0.00|5924|0.00|1429.13
MINOR_Q2|165.01|72324.00|0.00|5922|0.00|1431.15
MINOR_Q3|157.92|68021.00|0.00|5880|0.00|1385.52
MINOR_Q4|166.91|67335.00|0.00|5933|0.00|1442.14
