00174|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00174|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|CLA|CLA|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|CLA|CLA|UPD
001C4|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|12/31/2013|12/31/2012|09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|001C4|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|RES|CLA|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|RES
001C6|05/26/2019|05/27/2018|05/28/2017|05/29/2016|05/31/2015|05/25/2014|05/26/2013|08/25/2019|05/26/2019|02/24/2019|11/25/2018|08/26/2018|05/27/2018|02/25/2018|11/26/2017|52|52|52|52|52|52|52|13|13|13|13|13|13|13|13|001C6|T|W|W|W|W|W|W|W|W|W|W|W|W|W|W|W|UPD|UPD|CLA|CLA|RES|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00220|09/30/2018|09/30/2017|09/30/2016|09/25/2015|09/26/2014|09/27/2013|09/28/2012|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00220|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|RES|CLA|CLA|CLA|CLA|CLA|RES|UPD|UPD|UPD|RES|RES|RES|RES|CLA
002F7|04/30/2019|04/30/2018|04/30/2017|04/30/2016||||07/31/2019|04/30/2019|01/31/2019|10/31/2018|07/31/2018|04/30/2018|01/31/2018|10/31/2017|12|12|12|12||||3|3|3|3|3|3|3|6|002F7|T|M|M|M|M||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD||||UPD|UPD|UPD|UPD|UPD|UPD|UPD|RSP
0036B|12/28/2018|12/29/2017|12/30/2016|12/25/2015|12/26/2014|||09/27/2019|06/28/2019|03/29/2019|12/28/2018|09/28/2018|06/29/2018|03/30/2018|12/29/2017|52|52|53|52|52|||13|13|13|13|13|13|13|13|0036B|T|W|W|W|W|W|||W|W|W|W|W|W|W|W|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00417|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|00417|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
0041D|08/31/2018|08/31/2017|08/31/2016|||||05/31/2019|02/28/2019|11/30/2018|08/31/2018|05/31/2018|02/28/2018|11/30/2017|08/31/2017|12|12|12|||||3|3|3|3|3|3|3|3|0041D|T|M|M|M|||||M|M|M|M|M|M|M|M|UPD|UPD|UPD|||||UPD|UPD|UPD|UPD|CLA|CLA|UPD|UPD
0044A|12/31/2018|12/31/2017|12/31/2016|12/31/2015|12/31/2014|||09/30/2019|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|12|12|12|12|12|||3|3|3|3|3|3|3|3|0044A|T|M|M|M|M|M|||M|M|M|M|M|M|M|M|UPD|UPD|CLA|CLA|UPD|||UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
00450|09/30/2018|09/30/2017|09/30/2016|09/30/2015|09/30/2014|09/30/2013|09/30/2012|06/30/2019|03/31/2019|12/31/2018|09/30/2018|06/30/2018|03/31/2018|12/31/2017|09/30/2017|12|12|12|12|12|12|12|3|3|3|3|3|3|3|3|00450|T|M|M|M|M|M|M|M|M|M|M|M|M|M|M|M|UPD|UPD|UPD|UPD|UPD|UPD|CLA|UPD|UPD|UPD|UPD|UPD|UPD|UPD|UPD
